Sr. No.,Year ,Location,Row,Range,Rep,UniqueID,HSF,Accn,OriginalAccn,Ecotype,Yield,Notes,Whole Harvest
1,2022,Athens,Row1,Range1,Rep1,A-1-1-1,Fam_1,FID_1,TCL-7,Unknown,1079,,
2,2022,Athens,Row1,Range2,Rep1,A-1-1-2,Fam_1,FID_2,TCL-7,Unknown,847,,
3,2022,Athens,Row1,Range3,Rep1,A-1-1-3,Fam_1,FID_3,TCL-7,Unknown,1549,,
4,2022,Athens,Row1,Range4,Rep1,A-1-1-4,Fam_1,FID_4,TCL-7,Unknown,790,,
5,2022,Athens,Row1,Range5,Rep1,A-1-2-1,Fam_2,FID_5,J249.C,Lowland,741,,
6,2022,Athens,Row1,Range6,Rep1,A-1-2-2,Fam_2,FID_6,J249.C,Lowland,1122,,
7,2022,Athens,Row1,Range7,Rep1,A-1-2-3,Fam_2,FID_7,J249.C,Lowland,1069,,
8,2022,Athens,Row1,Range8,Rep1,A-1-2-4,Fam_2,FID_8,J249.C,Lowland,1222,,
9,2022,Athens,Row1,Range9,Rep1,A-1-3-1,Fam_3,FID_9,J247.A,Lowland,416,,
10,2022,Athens,Row1,Range10,Rep1,A-1-3-2,Fam_3,FID_10,J247.A,Lowland,710,,
11,2022,Athens,Row1,Range11,Rep1,A-1-3-3,Fam_3,FID_11,J247.A,Lowland,1651,,
12,2022,Athens,Row1,Range12,Rep1,A-1-3-4,Fam_3,FID_12,J247.A,Lowland,1148,,
13,2022,Athens,Row1,Range13,Rep1,A-1-4-1,Fam_4,FID_13,J496.C,Lowland,2105,,
14,2022,Athens,Row1,Range14,Rep1,A-1-4-2,Fam_4,FID_14,J496.C,Lowland,457,,
15,2022,Athens,Row1,Range15,Rep1,A-1-4-3,Fam_4,FID_15,J496.C,Lowland,1359,,
16,2022,Athens,Row1,Range16,Rep1,A-1-4-4,Fam_4,FID_16,J496.C,Lowland,1771,,
17,2022,Athens,Row1,Range17,Rep1,A-1-5-1,Fam_5,FID_17,J320.A,Lowland,2434,,
18,2022,Athens,Row1,Range18,Rep1,A-1-5-2,Fam_5,FID_18,J320.A,Lowland,1121,,
19,2022,Athens,Row1,Range19,Rep1,A-1-5-3,Fam_5,FID_19,J320.A,Lowland,1472,,
20,2022,Athens,Row1,Range20,Rep1,A-1-5-4,Fam_5,FID_20,J320.A,Lowland,1937,,
21,2022,Athens,Row1,Range21,Rep1,A-1-6-1,Fam_6,FID_21,J594.A,Lowland,1077,,
22,2022,Athens,Row1,Range22,Rep1,A-1-6-2,Fam_6,FID_22,J594.A,Lowland,1035,,
23,2022,Athens,Row1,Range23,Rep1,A-1-6-3,Fam_6,FID_23,J594.A,Lowland,957,,
24,2022,Athens,Row1,Range24,Rep1,A-1-6-4,Fam_6,FID_24,J594.A,Lowland,1423,,
25,2022,Athens,Row1,Range25,Rep1,A-1-7-1,Fam_7,FID_25,J484.A,Lowland,747,,
26,2022,Athens,Row1,Range26,Rep1,A-1-7-2,Fam_7,FID_26,J484.A,Lowland,1032,,
27,2022,Athens,Row1,Range27,Rep1,A-1-7-3,Fam_7,FID_27,J484.A,Lowland,822,,
28,2022,Athens,Row1,Range28,Rep1,A-1-7-4,Fam_7,FID_28,J484.A,Lowland,1227,,
29,2022,Athens,Row1,Range29,Rep1,A-1-8-1,Fam_8,FID_29,J009.C,Lowland,1644,,
30,2022,Athens,Row1,Range30,Rep1,A-1-8-2,Fam_8,FID_30,J009.C,Lowland,537,,
31,2022,Athens,Row1,Range31,Rep1,A-1-8-3,Fam_8,FID_31,J009.C,Lowland,156,,
32,2022,Athens,Row1,Range32,Rep1,A-1-8-4,Fam_8,FID_32,J009.C,Lowland,1234,,
33,2022,Athens,Row1,Range33,Rep1,A-1-9-1,Fam_9,FID_33,J272.A,Lowland,1372,,
34,2022,Athens,Row1,Range34,Rep1,A-1-9-2,Fam_9,FID_34,J272.A,Lowland,841,,
35,2022,Athens,Row1,Range35,Rep1,A-1-9-3,Fam_9,FID_35,J272.A,Lowland,872,,
36,2022,Athens,Row1,Range36,Rep1,A-1-9-8,Fam_9,FID_36,J272.A,Lowland,1876,,
37,2022,Athens,Row1,Range37,Rep1,A-1-10-1,Fam_10,FID_37,J324.A,Lowland,782,,
38,2022,Athens,Row1,Range38,Rep1,A-1-10-2,Fam_10,FID_38,J324.A,Lowland,1325,,
39,2022,Athens,Row1,Range39,Rep1,A-1-10-3,Fam_10,FID_39,J324.A,Lowland,949,,
40,2022,Athens,Row1,Range40,Rep1,A-1-10-4,Fam_10,FID_40,J324.A,Lowland,798,,
41,2022,Athens,Row2,Range1,Rep1,A-2-1-1,Fam_11,FID_41,J230.A,Lowland,2034,,
42,2022,Athens,Row2,Range2,Rep1,A-2-1-2,Fam_11,FID_42,J230.A,Lowland,487,,
43,2022,Athens,Row2,Range3,Rep1,A-2-1-3,Fam_11,FID_43,J230.A,Lowland,922,,
44,2022,Athens,Row2,Range4,Rep1,A-2-1-4,Fam_11,FID_44,J230.A,Lowland,2769,,
45,2022,Athens,Row2,Range5,Rep1,A-2-2-1,Fam_12,FID_45,J272.A,Lowland,1721,,
46,2022,Athens,Row2,Range6,Rep1,A-2-2-2,Fam_12,FID_46,J272.A,Lowland,1255,,
47,2022,Athens,Row2,Range7,Rep1,A-2-2-3,Fam_12,FID_47,J272.A,Lowland,467,,
48,2022,Athens,Row2,Range8,Rep1,A-2-2-4,Fam_12,FID_48,J272.A,Lowland,1321,,
49,2022,Athens,Row2,Range9,Rep1,A-2-3-1,Fam_13,FID_49,J514.A,Lowland,1853,,
50,2022,Athens,Row2,Range10,Rep1,A-2-3-2,Fam_13,FID_50,J514.A,Lowland,1416,,
51,2022,Athens,Row2,Range11,Rep1,A-2-3-3,Fam_13,FID_51,J514.A,Lowland,633,,
52,2022,Athens,Row2,Range12,Rep1,A-2-3-4,Fam_13,FID_52,J514.A,Lowland,738,,
53,2022,Athens,Row2,Range13,Rep1,A-2-4-1,Fam_14,FID_53,J323.A,Lowland,2211,,
54,2022,Athens,Row2,Range14,Rep1,A-2-4-2,Fam_14,FID_54,J323.A,Lowland,1210,,
55,2022,Athens,Row2,Range15,Rep1,A-2-4-3,Fam_14,FID_55,J323.A,Lowland,221,,
56,2022,Athens,Row2,Range16,Rep1,A-2-4-4,Fam_14,FID_56,J323.A,Lowland,1469,,
57,2022,Athens,Row2,Range17,Rep1,A-2-5-1,Fam_15,FID_57,J498.B,Coastal,945,,
58,2022,Athens,Row2,Range18,Rep1,A-2-5-2,Fam_15,FID_58,J498.B,Coastal,1956,,
59,2022,Athens,Row2,Range19,Rep1,A-2-5-3,Fam_15,FID_59,J498.B,Coastal,1050,,
60,2022,Athens,Row2,Range20,Rep1,A-2-5-4,Fam_15,FID_60,J498.B,Coastal,672,,
61,2022,Athens,Row2,Range21,Rep1,A-2-6-1,Fam_16,FID_61,J230.A,Lowland,1416,,
62,2022,Athens,Row2,Range22,Rep1,A-2-6-2,Fam_16,FID_62,J230.A,Lowland,1279,,
63,2022,Athens,Row2,Range23,Rep1,A-2-6-3,Fam_16,FID_63,J230.A,Lowland,797,,
64,2022,Athens,Row2,Range24,Rep1,A-2-6-4,Fam_16,FID_64,J230.A,Lowland,1871,,
65,2022,Athens,Row2,Range25,Rep1,A-2-7-1,Fam_17,FID_65,J247.A,Lowland,1062,,
66,2022,Athens,Row2,Range26,Rep1,A-2-7-2,Fam_17,FID_66,J247.A,Lowland,924,,
67,2022,Athens,Row2,Range27,Rep1,A-2-7-3,Fam_17,FID_67,J247.A,Lowland,504,,
68,2022,Athens,Row2,Range28,Rep1,A-2-7-4,Fam_17,FID_68,J247.A,Lowland,1760,,
69,2022,Athens,Row2,Range29,Rep1,A-2-8-1,Fam_18,FID_69,J229.A,Lowland,1087,,
70,2022,Athens,Row2,Range30,Rep1,A-2-8-2,Fam_18,FID_70,J229.A,Lowland,1021,,
